ID,Titik 1,Moda 1,Harga 1,Titik 2,Moda 2,Harga 2,Titik 3,Moda 3,Harga 3,Titik 4,Moda 4,Harga 4,Titik 5,Moda 5,harga 5,Titik 6,Moda 6,Harga 6,Titik 7,Moda 7,Harga 7,Titik 8,Moda 8,Harga 8,Titik 9,Titik 10,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Total Harga
Rute-85,UI,Bogor Line,3000,Depok Baru,TJ D11,3500,Cawang,Bogor Line,,Duren Kalibata,Jalan Kaki (Integrasi),,[7Q]--> St. MRT Blok M,7Q,,Blok M,,,,,,,,,,,,,,,,,,,6500
Rute-86,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Cikini Station,Jalan Kaki (Integrasi),0,SMPN 8,4C,3500,Bundaran Senayan 1,1P,,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,,,,10000
Rute-87,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Cikini Station,Jalan Kaki (Integrasi),0,SMPN 8,4C,3500,Bundaran Senayan 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,,,,,,,10000
Rute-88,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Tebet,Jalan Kaki (Integrasi),0,Stasiun Tebet,6D,3500,Bundaran Senayan 1,1P,,Blok M Jalur 2,,,Blok M,,,,,,,,,,,,,,,,10000
Rute-89,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Tebet,Jalan Kaki (Integrasi),0,Stasiun Tebet,6D,3500,Bundaran Senayan 1,Bogor - Blok M,,Terminal Blok M,,,Blok M,,,,,,,,,,,,,,,,10000
Rute-90,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Tanjung Barat,Jalan Kaki (Integrasi),0,St. Tj. Barat 2,D21,3500,St. MRT Fatmawati,Jalan Kaki (Integrasi),,Fatmawati Indomaret,Bundaran HI - Lebak Bulus,,Blok M BCA,,,Blok M,,,,,,,,,,,,,10000
Rute-91,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Pasar Minggu Station,Jalan Kaki (Integrasi),0,Terminal Pasar Minggu,6T,3500,St. MRT Blok A,,,Blok M,,,,,,,,,,,,,,,,,,,10000
Rute-92,UI,TJ 4B,3500,Manggarai,Bogor Line,3000,Duren Kalibata,Jalan Kaki (Integrasi),0,Duren Kalibata,7Q,3500, St. MRT Blok M,,,Blok M,,,,,,,,,,,,,,,,,,,10000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gambar Graf :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
