ID,Rute Lengkap
Rute-52,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]-->Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Pancoran Arah Barat --[9C]--> Senayan Bank Jakarta --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-53,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[6V]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-54,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Tegal Parang Arah Barat --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[7B]--> Blok M Jalur 2 --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-55,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9C]--> Senayan Bank Jakarta --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-56,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9C]--> Bundaran Senayan --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-57,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru  --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral--[9]--> Cikoko Arah Barat --[4K]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-58,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Simpang Kuningan --[Jalan Kaki (Integrasi)]--> Hotel Maharadja --[6U]--> Blok M Jalur 3 --[Jalan Kaki (Selesai)]--> End: Blok M
,
,
,
,
,
,
Rute-65,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[13B]--> CSW 1 --[Jalan Kaki (Integrasi)]--> Kejaksaan Agung --[1]--> Blok M  --[Jalan Kaki (Selesai)]--> End: Blok M
Rute-66,Start: UI --[Jalan Kaki]--> Universitas Indonesia Train Station --[Bogor Line]--> Depok Baru --[TJ D11]--> Cawang-Sentral 2 --[Jalan Kaki (Integrasi)]--> Cawang-Sentral --[9]--> Cikoko --[Cibubur Line]--> Pancoran --[Jalan Kaki (Integrasi)]--> Pancoran Arah Barat --[9D]--> Tegal Parang 1 --[Jalan Kaki (Integrasi)]--> Tegal Mampang --[6V]--> Kejaksaan Agung --[1]--> Blok M --[Jalan Kaki (Selesai)]--> End: Blok M
